round static_code static_s dsrv_code dsrv_s info_code info_s
1 200 0.022649 200 1.078529 200 1.495096
2 200 0.046417 200 0.189065 200 0.228011
3 200 0.033408 200 1.120960 200 2.108508
4 200 0.090396 200 1.095622 200 2.637644
5 200 0.052173 200 1.101264 200 2.801170
6 200 0.053148 200 0.972571 200 2.676351
7 200 0.057897 200 1.097844 200 2.318450
8 200 0.043411 200 1.180914 200 2.413702
9 200 0.061915 200 1.134779 200 2.519316
10 200 0.065241 200 1.096919 200 2.237863
11 200 0.067154 200 0.927960 200 2.075680
12 200 0.064020 200 1.073170 200 2.726468
13 200 0.093533 200 1.179788 200 2.810143
14 200 0.067504 200 1.097148 200 2.730603
15 200 0.071881 200 1.492658 200 2.077223
16 200 0.061218 200 0.976254 200 2.116437
17 200 0.056230 200 1.060795 200 2.269823
18 200 0.074995 200 1.099510 200 2.632628
19 200 0.045135 200 1.182132 200 2.588172
20 200 0.094025 200 1.094855 200 2.432200
21 200 0.099946 200 1.258656 200 2.487015
22 200 0.049971 200 1.130516 200 2.045617
23 200 0.051049 200 1.173039 200 2.238836
24 200 0.060956 200 1.011579 200 2.412827
25 200 0.032675 200 1.101124 200 2.391456
26 200 0.052945 200 1.240790 200 2.652166
27 200 0.051763 200 1.260535 200 2.388517
28 200 0.058488 200 1.423670 200 2.871886
29 200 0.059217 200 1.700693 200 2.434051
30 200 0.056351 200 1.101718 200 2.236871
31 200 0.063116 200 0.984291 200 2.523763
32 200 0.056980 200 1.101286 200 2.072903
33 200 0.050109 200 1.016385 200 2.146181
34 200 0.084313 200 1.062733 200 2.671775
35 200 0.057826 200 0.132226 200 2.045152
36 200 0.086476 200 1.091756 200 2.126543
37 200 0.044207 200 1.029204 200 2.077640
38 200 0.066518 200 1.162888 200 2.076807
39 200 0.061178 200 1.151027 200 2.353007
40 200 0.050161 200 0.209355 200 2.484541
41 200 0.046154 200 1.260528 200 2.240891
42 200 0.051908 200 1.140298 200 2.205425
43 200 0.065319 200 1.157314 200 2.245168
44 200 0.057724 200 1.040134 200 2.843774
45 200 0.047888 200 1.333999 200 2.963868
46 200 0.047641 200 1.172675 200 2.401137
47 200 0.057620 200 1.093722 200 2.009957
48 200 0.051149 200 1.096838 200 2.324360
49 200 0.053204 200 1.094802 200 2.922361
50 200 0.092763 200 1.091881 200 2.878090
51 200 0.057323 200 1.077204 200 2.508224
